"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3347","Adicionar um novo livros","Administrar livros no Hub de Leitura","2026-09-24","broken","2026-09-24","","","",""
"","12305","Adicionar novos livros com tabela de exemplos","Administração de livros no Hub de Leitura","2026-09-24","passed","2026-09-24","","","",""
"","672","Login inválido - Com usuários não cadastrados e/ou senha errada (example #1)","Login","2026-09-24","passed","2026-09-24","","","",""
"","3503","Adicionar livros usando esquema do cenário - Livro: ""Livro de teste 4"" (example #4)","Administração de livros no Hub de Leitura","2026-09-24","passed","2026-09-24","","","",""
"","3281","Adicionar livros usando esquema do cenário - Livro: ""Livro de teste 1"" (example #1)","Administração de livros no Hub de Leitura","2026-09-24","passed","2026-09-24","","","",""
"","6276","Remover um livro existente","Administrar livros no Hub de Leitura","2026-09-24","passed","2026-09-24","","","",""
"","3205","Adicionar livros usando esquema do cenário - Livro: ""Li"" (example #2)","Administração de livros no Hub de Leitura","2026-09-24","passed","2026-09-24","","","",""
"","31","Visitar a página inicial do Cucumber.io","Navegação no site Cucumber.io","2026-09-24","skipped","2026-09-24","","","",""
"","669","Login inválido - Com email inválido (example #1)","Login","2026-09-24","passed","2026-09-24","","","",""
"","731","Login inválido - Com usuários não cadastrados e/ou senha errada (example #3)","Login","2026-09-24","passed","2026-09-24","","","",""
"","3097","Adicionar livros usando esquema do cenário - Livro: ""Livro de teste 5"" (example #5)","Administração de livros no Hub de Leitura","2026-09-24","passed","2026-09-24","","","",""
"","738","Login inválido - Com usuários não cadastrados e/ou senha errada (example #2)","Login","2026-09-24","passed","2026-09-24","","","",""
"","3248","Adicionar livros usando esquema do cenário - Livro: ""Livro de teste 6"" (example #6)","Administração de livros no Hub de Leitura","2026-09-24","passed","2026-09-24","","","",""
"","7355","Editar um livro existente","Administrar livros no Hub de Leitura","2026-09-24","passed","2026-09-24","","","",""
"","4070","Login válido","Login","2026-09-24","passed","2026-09-24","","","",""
"","3504","Adicionar livros usando esquema do cenário - Livro: ""Livro de teste com nome enorme 3"" (example #3)","Administração de livros no Hub de Leitura","2026-09-24","passed","2026-09-24","","","",""
"","652","Login inválido - Com email inválido (example #3)","Login","2026-09-24","passed","2026-09-24","","","",""
"","725","Login inválido - Com email inválido (example #2)","Login","2026-09-24","passed","2026-09-24","","","",""
"","17","Acessar a seção de Aprendizado","Navegação no site Cucumber.io","2026-09-24","skipped","2026-09-24","","","",""
